player_id,game_id,fo,fo_wins
8474685,2019020434,1,0
8475166,2019020434,20,11
8475172,2019020434,10,2
8475786,2019020434,5,5
8476391,2019020434,2,1
8477021,2019020434,4,2
8477456,2019020434,8,1
8477492,2019020434,12,7
8477930,2019020434,11,5
8477939,2019020434,4,2
8478115,2019020434,1,0
8478420,2019020434,6,3
8478483,2019020434,2,1
8479318,2019020434,13,10
8479370,2019020434,4,0
8481624,2019020434,1,1
8470655,2019020438,1,0
8471276,2019020438,16,9
8473419,2019020438,1,0
8473604,2019020438,28,17
8474250,2019020438,1,0
8475745,2019020438,14,10
8475780,2019020438,4,1
8475807,2019020438,1,0
8476374,2019020438,10,3
8476438,2019020438,2,1
8477330,2019020438,1,0
8477846,2019020438,5,2
8478440,2019020438,12,6
8478498,2019020438,1,1
8480144,2019020438,5,2
8480944,2019020438,6,2
8470755,2019020449,11,7
8471215,2019020449,17,6
8471262,2019020449,8,5
8474613,2019020449,18,13
8476927,2019020449,19,9
8477404,2019020449,2,0
8477951,2019020449,3,2
8477955,2019020449,6,2
8477989,2019020449,11,5
8478043,2019020449,6,2
8478866,2019020449,1,0
8473512,2019020452,13,8
8473573,2019020452,9,5
8475752,2019020452,1,1
8475763,2019020452,15,6
8476419,2019020452,12,5
8476461,2019020452,18,12
8476872,2019020452,3,0
8476919,2019020452,13,8
8477426,2019020452,1,0
8478400,2019020452,9,5
8478844,2019020452,2,1
8479366,2019020452,5,0
8480801,2019020452,3,1
8470619,2019020457,10,4
8473422,2019020457,10,1
8474062,2019020457,4,3
8474098,2019020457,1,1
8474715,2019020457,1,0
8476389,2019020457,12,9
8476432,2019020457,12,6
8476952,2019020457,1,0
8476981,2019020457,3,1
8477493,2019020457,14,6
8478569,2019020457,13,11
8478839,2019020457,1,0
8479400,2019020457,15,6
8480074,2019020457,7,4
8473473,2019020471,1,1
8474150,2019020471,3,2
8476455,2019020471,10,4
8476873,2019020471,12,4
8477456,2019020471,12,5
8477492,2019020471,17,6
8477496,2019020471,20,13
8477497,2019020471,14,10
8477930,2019020471,18,8
8478585,2019020471,12,8
8479370,2019020471,5,1
8470638,2019020488,24,14
8471276,2019020488,20,13
8474564,2019020488,15,5
8475745,2019020488,7,1
8475780,2019020488,5,3
8476292,2019020488,1,0
8476374,2019020488,7,2
8476453,2019020488,1,0
8476975,2019020488,11,5
8477956,2019020488,1,0
8478010,2019020488,19,10
8478477,2019020488,5,4
8478498,2019020488,1,1
8478519,2019020488,13,7
8473422,2019020490,6,3
8474062,2019020490,5,3
8474679,2019020490,1,0
8475810,2019020490,1,0
8476432,2019020490,16,8
8476927,2019020490,11,4
8477010,2019020490,2,0
8477404,2019020490,13,7
8477416,2019020490,1,0
8477505,2019020490,2,0
8477955,2019020490,14,9
8478043,2019020490,4,2
8479400,2019020490,8,5
8480074,2019020490,6,4
8471698,2019020507,1,0
8473563,2019020507,17,9
8474189,2019020507,11,7
8474564,2019020507,6,2
8475343,2019020507,9,4
8475744,2019020507,12,7
8476826,2019020507,3,1
8476880,2019020507,1,0
8476894,2019020507,2,1
8476975,2019020507,7,4
8477409,2019020507,1,0
8478010,2019020507,12,9
8478477,2019020507,10,5
8478519,2019020507,14,4
8471218,2019020515,18,14
8473512,2019020515,13,6
8475763,2019020515,22,13
8476392,2019020515,1,0
8476406,2019020515,4,2
8476460,2019020515,16,8
8476461,2019020515,11,3
8477429,2019020515,17,9
8477979,2019020515,1,0
8478458,2019020515,1,0
8478844,2019020515,1,1
8480028,2019020515,9,1
8473573,2019020519,10,5
8474098,2019020519,2,1
8474884,2019020519,1,1
8476389,2019020519,13,8
8476419,2019020519,17,8
8476919,2019020519,11,5
8476952,2019020519,8,2
8477426,2019020519,6,4
8477493,2019020519,22,9
8478366,2019020519,1,0
8478400,2019020519,2,1
8478569,2019020519,9,6
8478833,2019020519,10,4
8478843,2019020519,6,4
8479366,2019020519,4,2
8480801,2019020519,2,2
8470775,2019020532,11,3
8474091,2019020532,4,0
8474291,2019020532,8,3
8474849,2019020532,1,0
8475738,2019020532,1,0
8475848,2019020532,1,0
8476393,2019020532,1,0
8476410,2019020532,1,1
8476468,2019020532,12,9
8476479,2019020532,18,12
8477500,2019020532,20,10
8477503,2019020532,11,8
8478874,2019020532,7,3
8480012,2019020532,1,0
8480018,2019020532,11,5
8474040,2019020537,2,2
8475158,2019020537,24,14
8475170,2019020537,12,6
8475772,2019020537,9,2
8476454,2019020537,12,7
8476897,2019020537,4,2
8477455,2019020537,6,2
8477934,2019020537,22,11
8478402,2019020537,7,4
8480023,2019020537,9,3
8481813,2019020537,3,2
8470775,2019020545,11,6
8473473,2019020545,1,1
8474150,2019020545,3,2
8475738,2019020545,4,2
8476356,2019020545,7,2
8476393,2019020545,1,0
8476479,2019020545,23,16
8477496,2019020545,20,7
8477497,2019020545,15,7
8477503,2019020545,15,5
8477935,2019020545,3,3
8478585,2019020545,14,11
8480018,2019020545,9,1
8473512,2019020574,22,15
8474161,2019020574,1,0
8475184,2019020574,3,1
8475735,2019020574,3,1
8475763,2019020574,11,2
8476458,2019020574,18,15
8476459,2019020574,26,10
8476461,2019020574,20,11
8477402,2019020574,1,1
8478844,2019020574,7,4
8479353,2019020574,4,2
8480028,2019020574,6,2
8480078,2019020574,12,3
8470604,2019020581,11,5
8471685,2019020581,21,12
8475098,2019020581,11,5
8475158,2019020581,28,15
8475170,2019020581,9,6
8476897,2019020581,1,0
8476947,2019020581,10,3
8477455,2019020581,6,3
8477964,2019020581,1,0
8478020,2019020581,5,2
8480023,2019020581,4,3
8481481,2019020581,13,6
8470595,2019020588,18,9
8475172,2019020588,16,10
8476437,2019020588,5,3
8476455,2019020588,9,5
8477444,2019020588,1,1
8477451,2019020588,8,4
8477456,2019020588,11,4
8477492,2019020588,11,4
8477930,2019020588,9,7
8477942,2019020588,1,0
8478493,2019020588,14,4
8479316,2019020588,7,2
8479370,2019020588,5,2
8481477,2019020588,9,7
8470775,2019020594,10,5
8473986,2019020594,1,0
8474564,2019020594,13,4
8474870,2019020594,7,5
8475738,2019020594,2,1
8475848,2019020594,2,2
8476292,2019020594,1,0
8476479,2019020594,28,20
8476826,2019020594,4,4
8476975,2019020594,6,2
8477503,2019020594,4,3
8478010,2019020594,11,2
8478477,2019020594,5,2
8478519,2019020594,13,5
8480018,2019020594,7,4
8480829,2019020594,8,2
8471215,2019020596,29,17
8474009,2019020596,20,12
8474068,2019020596,11,5
8475168,2019020596,18,8
8475793,2019020596,18,9
8475798,2019020596,3,0
8476927,2019020596,15,6
8477955,2019020596,9,6
8478043,2019020596,9,5
8478866,2019020596,1,0
8479293,2019020596,2,1
8479944,2019020596,1,0
8480946,2019020596,4,1
8470619,2019020619,10,4
8473422,2019020619,1,0
8474062,2019020619,8,5
8474098,2019020619,3,3
8476389,2019020619,9,6
8476432,2019020619,20,8
8476952,2019020619,3,0
8477493,2019020619,18,10
8477505,2019020619,10,4
8477974,2019020619,1,1
8478366,2019020619,1,1
8478569,2019020619,8,6
8479400,2019020619,12,4
8471215,2019020654,15,4
8474098,2019020654,2,0
8474884,2019020654,1,0
8476389,2019020654,15,11
8476851,2019020654,1,1
8476927,2019020654,16,9
8476952,2019020654,6,2
8477010,2019020654,6,3
8477493,2019020654,16,9
8477955,2019020654,14,6
8478366,2019020654,1,0
8478569,2019020654,6,5
8478843,2019020654,7,4
8479293,2019020654,1,0
8480946,2019020654,1,0
8471233,2019020665,18,13
8473544,2019020665,8,6
8474573,2019020665,8,5
8475231,2019020665,17,4
8475754,2019020665,15,7
8476043,2019020665,1,0
8476399,2019020665,1,0
8478401,2019020665,11,2
8478445,2019020665,4,2
8479291,2019020665,8,4
8480002,2019020665,13,9
8469454,2019020679,2,0
8470775,2019020679,13,9
8475772,2019020679,19,10
8476454,2019020679,2,1
8476479,2019020679,15,6
8477503,2019020679,12,6
8477934,2019020679,21,10
8478402,2019020679,10,6
8480018,2019020679,6,3
8480829,2019020679,14,6
8481813,2019020679,10,5
8470755,2019020690,6,3
8471262,2019020690,9,5
8473533,2019020690,17,7
8474613,2019020690,16,8
8475287,2019020690,11,6
8476288,2019020690,1,0
8476994,2019020690,2,1
8477951,2019020690,6,3
8477989,2019020690,13,6
8478027,2019020690,14,9
8478427,2019020690,10,5
8478474,2019020690,2,1
8480039,2019020690,1,0
8470638,2019020694,23,13
8471276,2019020694,8,3
8473419,2019020694,1,0
8473463,2019020694,1,1
8473544,2019020694,8,4
8474573,2019020694,4,2
8474586,2019020694,1,0
8475231,2019020694,12,7
8475314,2019020694,2,2
8475745,2019020694,6,4
8475754,2019020694,17,7
8475780,2019020694,2,0
8476374,2019020694,9,2
8476439,2019020694,1,1
8478445,2019020694,5,4
8470612,2019020699,16,10
8473604,2019020699,20,12
8474250,2019020699,9,6
8474641,2019020699,1,0
8476483,2019020699,1,1
8476913,2019020699,5,2
8477240,2019020699,1,0
8477846,2019020699,13,5
8477961,2019020699,1,1
8479351,2019020699,21,10
8480144,2019020699,9,3
8480806,2019020699,8,3
8481523,2019020699,1,0
8471669,2019020701,16,9
8473422,2019020701,3,2
8474062,2019020701,9,3
8474157,2019020701,1,1
8475236,2019020701,7,3
8475913,2019020701,1,1
8476432,2019020701,12,4
8476448,2019020701,10,5
8476905,2019020701,10,7
8477505,2019020701,13,7
8477931,2019020701,1,0
8477949,2019020701,3,1
8478434,2019020701,1,1
8478831,2019020701,3,0
8479400,2019020701,7,3
8480205,2019020701,2,2
8480762,2019020701,1,1
8470638,2019020711,16,10
8471276,2019020711,17,12
8473512,2019020711,17,9
8474037,2019020711,1,1
8475745,2019020711,17,11
8475763,2019020711,12,4
8475780,2019020711,6,2
8476374,2019020711,8,4
8476439,2019020711,1,0
8476461,2019020711,16,8
8476872,2019020711,13,4
8478498,2019020711,1,0
8479382,2019020711,6,0
8480797,2019020711,1,1
8471698,2019020712,1,0
8473533,2019020712,17,10
8473563,2019020712,22,12
8474176,2019020712,1,1
8474189,2019020712,16,7
8475287,2019020712,24,11
8475343,2019020712,14,9
8475744,2019020712,6,4
8476880,2019020712,1,0
8476934,2019020712,1,0
8477944,2019020712,1,1
8477998,2019020712,1,0
8478027,2019020712,9,2
8478427,2019020712,10,5
8470638,2019020727,22,13
8471215,2019020727,9,5
8471675,2019020727,24,10
8473419,2019020727,1,0
8475461,2019020727,4,1
8475745,2019020727,16,8
8475780,2019020727,5,3
8476374,2019020727,4,1
8476927,2019020727,19,10
8477955,2019020727,2,1
8478498,2019020727,1,1
8480944,2019020727,9,5
8469459,2019020736,10,4
8470595,2019020736,18,7
8470610,2019020736,2,0
8474564,2019020736,7,2
8474870,2019020736,1,1
8475722,2019020736,1,0
8476292,2019020736,1,1
8476437,2019020736,9,3
8476826,2019020736,1,0
8476975,2019020736,8,5
8477451,2019020736,1,1
8478010,2019020736,12,7
8478477,2019020736,12,9
8478493,2019020736,13,5
8478519,2019020736,13,10
8479316,2019020736,1,0
8471262,2019020739,5,1
8474091,2019020739,1,1
8474291,2019020739,13,8
8474613,2019020739,16,8
8475791,2019020739,1,0
8475808,2019020739,5,4
8476468,2019020739,9,2
8476994,2019020739,1,1
8477500,2019020739,15,9
8477937,2019020739,1,0
8477951,2019020739,2,1
8477989,2019020739,15,7
8478474,2019020739,2,1
8478874,2019020739,7,4
8480012,2019020739,1,0
8470144,2019020749,8,1
8470619,2019020749,9,4
8471716,2019020749,4,3
8471794,2019020749,1,1
8474098,2019020749,3,1
8476389,2019020749,11,4
8476822,2019020749,14,8
8477454,2019020749,1,1
8477479,2019020749,2,1
8477493,2019020749,24,12
8477946,2019020749,28,19
8477952,2019020749,2,1
8478036,2019020749,3,2
8478366,2019020749,1,0
8478569,2019020749,10,4
8478843,2019020749,5,1
8470604,2019020750,16,7
8471685,2019020750,23,15
8473453,2019020750,6,2
8473512,2019020750,16,9
8475160,2019020750,1,1
8475763,2019020750,15,6
8476461,2019020750,23,12
8476872,2019020750,1,0
8476947,2019020750,4,1
8477960,2019020750,1,1
8478020,2019020750,6,4
8479382,2019020750,7,2
8479994,2019020750,5,2
8466138,2019020754,7,1
8474091,2019020754,3,3
8474291,2019020754,8,5
8474849,2019020754,2,2
8475169,2019020754,5,3
8476468,2019020754,5,3
8476624,2019020754,7,1
