player_id,game_id,name,team,pos,hits,blocks
8476931,2019020147,J. McCabe,BUF,D,4.0,1.0
8477402,2019020147,P. Buchnevich,NYR,RW,2.0,0.0
8477499,2019020147,R. Ristolainen,BUF,D,6.0,1.0
8477933,2019020147,S. Reinhart,BUF,C,1.0,0.0
8477950,2019020147,T. DeAngelo,NYR,D,0.0,1.0
8477962,2019020147,B. Lemieux,NYR,LW,3.0,1.0
8478109,2019020147,V. Olofsson,BUF,RW,0.0,1.0
8478403,2019020147,J. Eichel,BUF,C,1.0,0.0
8479323,2019020147,A. Fox,NYR,D,1.0,1.0
8479333,2019020147,L. Hajek,NYR,D,1.0,5.0
8479353,2019020147,B. Howden,NYR,C,1.0,2.0
8479999,2019020147,C. Mittelstadt,BUF,C,1.0,0.0
8480035,2019020147,H. Jokiharju,BUF,D,1.0,1.0
8480072,2019020147,L. Andersson,NYR,C,4.0,1.0
8480839,2019020147,R. Dahlin,BUF,D,2.0,0.0
8481554,2019020147,K. Kakko,NYR,RW,2.0,0.0
8469454,2019020149,I. Kovalchuk,LAK,RW,0.0,1.0
8470151,2019020149,J. Bouwmeester,STL,D,0.0,1.0
8470257,2019020149,A. Steen,STL,LW,1.0,0.0
8470604,2019020149,J. Carter,LAK,C,2.0,1.0
8470606,2019020149,D. Brown,LAK,RW,3.0,0.0
8471685,2019020149,A. Kopitar,LAK,C,1.0,3.0
8473453,2019020149,T. Lewis,LAK,C,3.0,1.0
8474145,2019020149,R. Bortuzzo,STL,D,2.0,1.0
8474166,2019020149,A. Martinez,LAK,D,0.0,1.0
8474563,2019020149,D. Doughty,LAK,D,0.0,3.0
8475098,2019020149,T. Bozak,STL,C,1.0,0.0
8475158,2019020149,R. O'Reilly,STL,C,0.0,1.0
8475170,2019020149,B. Schenn,STL,C,2.0,0.0
8475765,2019020149,V. Tarasenko,STL,RW,1.0,0.0
8475768,2019020149,J. Schwartz,STL,LW,1.0,0.0
