name,pos,dist,hand,st_x,st_y,goal,team,event,period,period_time_remaining,game_id,player_id,shot_id,period_type,miss_loc,assist,assist2,blocker,goalie,scorer,date_time,shot_type,missed_net,empty,gw
V. Sobotka,LW,25.495097567963924,L,70.0,17.0,False,BUF,Shot,3,1133.0,2019020007,8471743.0,2019020007_275,REGULAR,,,,,8476899.0,,2019-10-04 02:07:47,wrist,False,False,False
B. Tanev,LW,56.859475903318,L,42.0,-32.0,False,PIT,Shot,3,1057.0,2019020007,8479293.0,2019020007_283,REGULAR,,,,,8475622.0,,2019-10-04 02:10:29,wrist,False,False,False
J. Eichel,C,93.637599285757,R,1.0,-32.0,False,BUF,Shot,3,1047.0,2019020007,8478403.0,2019020007_285,REGULAR,,,,,8476899.0,,2019-10-04 02:10:42,wrist,False,False,False
K. Okposo,RW,17.029386365926403,R,72.0,-1.0,False,BUF,Missed Shot,3,1019.0,2019020007,8473449.0,2019020007_286,REGULAR,over net,,,,,,2019-10-04 02:11:06,,True,False,False
J. Skinner,LW,29.73213749463701,L,67.0,20.0,False,BUF,Shot,3,976.0,2019020007,8475784.0,2019020007_290,REGULAR,,,,,8476899.0,,2019-10-04 02:11:50,wrist,False,False,False
J. Skinner,LW,41.04875150354759,L,48.0,-2.0,False,BUF,Shot,3,966.0,2019020007,8475784.0,2019020007_292,REGULAR,,,,,8476899.0,,2019-10-04 02:11:59,wrist,False,False,False
R. Ristolainen,D,182.6499384067785,R,-91.0,-31.0,False,BUF,Shot,3,847.0,2019020007,8477499.0,2019020007_303,REGULAR,,,,,8476899.0,,2019-10-04 02:15:34,wrist,False,False,False
J. Schultz,D,52.92447448959697,R,40.0,20.0,False,PIT,Shot,3,792.0,2019020007,8474602.0,2019020007_304,REGULAR,,,,,8475622.0,,2019-10-04 02:16:25,slap,False,False,False
Z. Aston-Reese,C,17.4928556845359,L,74.0,9.0,False,PIT,Missed Shot,3,727.0,2019020007,8479944.0,2019020007_308,REGULAR,wide of net,,,,,,2019-10-04 02:17:30,,True,False,False
E. Malkin,C,34.058772731852805,L,55.0,-2.0,False,PIT,Missed Shot,3,684.0,2019020007,8471215.0,2019020007_310,REGULAR,wide of net,,,,,,2019-10-04 02:18:13,,True,False,False
J. McCabe,D,103.9471019317037,L,-14.0,14.0,False,BUF,Shot,3,625.0,2019020007,8476931.0,2019020007_317,REGULAR,,,,,8476899.0,,2019-10-04 02:21:24,wrist,False,False,False
N. Bjugstad,C,24.596747752497688,R,67.0,11.0,False,PIT,Missed Shot,3,582.0,2019020007,8475760.0,2019020007_319,REGULAR,wide of net,,,,,,2019-10-04 02:22:08,,True,False,False
A. Galchenyuk,LW,13.601470508735444,L,81.0,11.0,False,PIT,Shot,3,567.0,2019020007,8476851.0,2019020007_320,REGULAR,,,,,8475622.0,,2019-10-04 02:22:23,wrist,False,False,False
J. Eichel,C,40.11234224026316,R,49.0,3.0,False,BUF,Shot,3,540.0,2019020007,8478403.0,2019020007_323,REGULAR,,,,,8476899.0,,2019-10-04 02:23:23,wrist,False,False,False
M. Scandella,D,45.803929962395145,L,62.0,37.0,False,BUF,Missed Shot,3,469.0,2019020007,8474618.0,2019020007_331,REGULAR,wide of net,,,,,,2019-10-04 02:26:48,,True,False,False
J. McCabe,D,28.284271247461906,L,61.0,-4.0,False,BUF,Shot,3,443.0,2019020007,8476931.0,2019020007_332,REGULAR,,,,,8476899.0,,2019-10-04 02:27:20,wrist,False,False,False
K. Okposo,RW,12.083045973594572,R,78.0,5.0,False,BUF,Shot,3,441.0,2019020007,8473449.0,2019020007_333,REGULAR,,,,,8476899.0,,2019-10-04 02:27:29,wrist,False,False,False
K. Letang,D,100.2845950283492,R,-10.0,-16.0,False,PIT,Shot,3,349.0,2019020007,8471724.0,2019020007_339,REGULAR,,,,,8475622.0,,2019-10-04 02:29:41,slap,False,False,False
Z. Aston-Reese,C,13.92838827718412,L,76.0,5.0,False,PIT,Missed Shot,3,305.0,2019020007,8479944.0,2019020007_344,REGULAR,wide of net,,,,,,2019-10-04 02:30:53,,True,False,False
K. Letang,D,30.01666203960727,R,74.0,-26.0,False,PIT,Shot,3,231.0,2019020007,8471724.0,2019020007_349,REGULAR,,,,,8475622.0,,2019-10-04 02:32:07,wrist,False,False,False
E. Malkin,C,27.16615541441225,L,86.0,-27.0,False,PIT,Shot,3,220.0,2019020007,8471215.0,2019020007_351,REGULAR,,,,,8475622.0,,2019-10-04 02:32:17,backhand,False,False,False
S. Reinhart,C,15.524174696260024,R,85.0,-15.0,False,BUF,Shot,3,184.0,2019020007,8477933.0,2019020007_354,REGULAR,,,,,8476899.0,,2019-10-04 02:35:10,wrist,False,False,False
J. Vesey,LW,31.064449134018133,L,63.0,17.0,False,BUF,Shot,3,176.0,2019020007,8476918.0,2019020007_355,REGULAR,,,,,8476899.0,,2019-10-04 02:35:19,wrist,False,False,False
P. Hornqvist,RW,10.770329614269007,R,85.0,10.0,False,PIT,Shot,3,115.0,2019020007,8471887.0,2019020007_362,REGULAR,,,,,8475622.0,,2019-10-04 02:38:11,wrist,False,False,False
J. Schultz,D,57.87054518492115,R,32.0,-10.0,False,PIT,Shot,3,73.0,2019020007,8474602.0,2019020007_364,REGULAR,,,,,8475622.0,,2019-10-04 02:38:53,slap,False,False,False
J. Vesey,LW,138.91724155050014,L,-48.0,23.0,False,BUF,Missed Shot,3,51.0,2019020007,8476918.0,2019020007_365,REGULAR,wide of net,,,,,,2019-10-04 02:39:16,,True,False,False
M. Pettersson,D,44.94441010848846,L,51.0,-24.0,False,PIT,Shot,3,4.0,2019020007,8477969.0,2019020007_368,REGULAR,,,,,8475622.0,,2019-10-04 02:40:07,slap,False,False,False
E. Malkin,C,10.0,L,81.0,6.0,False,PIT,Shot,3,3.0,2019020007,8471215.0,2019020007_369,REGULAR,,,,,8475622.0,,2019-10-04 02:40:07,wrist,False,False,False
L. Witkowski,RW,32.64965543462902,R,64.0,21.0,False,TBL,Missed Shot,1,1068.0,2019020021,8474722.0,2019020021_11,REGULAR,wide of net,,,,,,2019-10-06 00:19:28,,True,False,False
R. McDonagh,D,68.26419266350405,L,31.0,36.0,False,TBL,Shot,1,1013.0,2019020021,8474151.0,2019020021_14,REGULAR,,,,,8475683.0,,2019-10-06 00:20:22,slap,False,False,False
F. Vatrano,C,46.22769732530488,L,53.0,-29.0,False,FLA,Shot,1,887.0,2019020021,8478366.0,2019020021_28,REGULAR,,,,,8476883.0,,2019-10-06 00:24:23,snap,False,False,False
K. Shattenkirk,D,59.93329625508679,R,35.0,26.0,False,TBL,Shot,1,858.0,2019020021,8474031.0,2019020021_31,REGULAR,,,,,8475683.0,,2019-10-06 00:25:38,slap,False,False,False
E. Dadonov,RW,20.0,L,73.0,-12.0,False,FLA,Missed Shot,1,801.0,2019020021,8474149.0,2019020021_35,REGULAR,wide of net,,,,,,2019-10-06 00:27:10,,True,False,False
M. Hoffman,LW,44.384682042344295,L,46.0,11.0,False,FLA,Shot,1,788.0,2019020021,8474884.0,2019020021_40,REGULAR,,,,,8476883.0,,2019-10-06 00:30:03,wrist,False,False,False
V. Trocheck,C,21.02379604162864,R,98.0,-19.0,False,FLA,Missed Shot,1,775.0,2019020021,8476389.0,2019020021_41,REGULAR,wide of net,,,,,,2019-10-06 00:30:16,,True,False,False
E. Dadonov,RW,17.029386365926403,L,72.0,-1.0,False,FLA,Shot,1,690.0,2019020021,8474149.0,2019020021_48,REGULAR,,,,,8476883.0,,2019-10-06 00:32:19,wrist,False,False,False
T. Johnson,C,17.46424919657298,R,72.0,-4.0,False,TBL,Shot,1,624.0,2019020021,8474870.0,2019020021_53,REGULAR,,,,,8475683.0,,2019-10-06 00:33:44,wrist,False,False,False
N. Kucherov,RW,8.94427190999916,L,85.0,-8.0,False,TBL,Shot,1,623.0,2019020021,8476453.0,2019020021_54,REGULAR,,,,,8475683.0,,2019-10-06 00:33:50,tip-in,False,False,False
Y. Gourde,C,21.213203435596427,L,68.0,-3.0,False,TBL,Shot,1,515.0,2019020021,8476826.0,2019020021_59,REGULAR,,,,,8475683.0,,2019-10-06 00:36:05,tip-in,False,False,False
Y. Gourde,C,5.830951894845301,L,84.0,-3.0,False,TBL,Missed Shot,1,514.0,2019020021,8476826.0,2019020021_60,REGULAR,wide of net,,,,,,2019-10-06 00:36:16,,True,False,False
V. Trocheck,C,20.0,R,77.0,16.0,False,FLA,Shot,1,448.0,2019020021,8476389.0,2019020021_66,REGULAR,,,,,8476883.0,,2019-10-06 00:39:42,wrist,False,False,False
J. Huberdeau,LW,36.7967389859482,L,62.0,25.0,False,FLA,Shot,1,423.0,2019020021,8476456.0,2019020021_67,REGULAR,,,,,8476883.0,,2019-10-06 00:39:57,slap,False,False,False
A. Ekblad,D,54.45181356024793,R,35.0,-7.0,False,FLA,Shot,1,409.0,2019020021,8477932.0,2019020021_71,REGULAR,,,,,8476883.0,,2019-10-06 00:40:32,slap,False,False,False
M. Matheson,D,60.74537019394976,L,38.0,33.0,False,FLA,Shot,1,392.0,2019020021,8476875.0,2019020021_72,REGULAR,,,,,8476883.0,,2019-10-06 00:40:49,wrist,False,False,False
A. Stralman,D,17.69180601295413,R,76.0,-12.0,False,FLA,Missed Shot,1,339.0,2019020021,8471873.0,2019020021_78,REGULAR,wide of net,,,,,,2019-10-06 00:41:52,,True,False,False
M. Sergachev,D,62.93647591023825,L,29.0,19.0,False,TBL,Shot,1,278.0,2019020021,8479410.0,2019020021_84,REGULAR,,,,,8475683.0,,2019-10-06 00:42:49,slap,False,False,False
